accession	level_1	level_2	level_3	level_4	level_5	level_6
P09871	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
O77669	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P08709	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
O97506	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P23946	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P08311	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
O43240	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P00763	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P12544	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P04070	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q9Y5K2	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q9Y337	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q92876	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P00735	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q29463	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q8K3U6	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P35030	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P49864	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P00736	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P15944	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q02844	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P17538	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
O60259	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q9UKR3	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P40313	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P49863	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q9UKR0	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q9NRR2	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P08861	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
O19045	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q3UP87	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q61096	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
Q16651	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P19221	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P06869	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P28293	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P04185	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P00751	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P29598	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P20918	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P08001	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P11214	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P56677	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P98139	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1A subfamily	NULL
P0C1U8	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S1B subfamily	NULL
A3EZI9	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S29 family	NULL
P26664	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S29 family	NULL
Q2Q167	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S29 family	NULL
Q91H74	Enzyme	Protease	Serine protease	Serine protease PA clan	Serine protease S29 family	NULL
P00803	Enzyme	Protease	Serine protease	Serine protease SF clan	Serine protease S26A subfamily	NULL
P24627	Enzyme	Protease	Serine protease	Serine protease SR clan	Serine protease S60 family	NULL
Q9Y256	Enzyme	Protease	Protease unclassified	Protease unclassified U family	Protease unclassified U48 family	NULL
P00797	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P20142	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P04073	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P08424	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
Q9Y5Z0	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P07339	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P06281	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P00791	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P14091	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P0DJD9	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P80209	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P06026	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P00798	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P46925	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P07267	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P56818	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P39898	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P56817	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P0CY28	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P11838	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P43094	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P0CS83	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P0CY26	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
O42778	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
Q9TSZ1	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
O42779	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P43095	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P43093	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
Q6DLW5	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
Q7M3D2	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P70269	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
Q6DLS0	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
P56819	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
G3IAK4	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
Q6IE75	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A1A subfamily	NULL
Q72874	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A2A subfamily	NULL
P10274	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A2A subfamily	NULL
P88142	Enzyme	Protease	Aspartic protease	Aspartic protease AA clan	Aspartic protease A2A subfamily	NULL
P26664	Enzyme	Protease	Cysteine protease	Cysteine protease CM clan	Cysteine protease C18 family	NULL
Q2Q167	Enzyme	Protease	Cysteine protease	Cysteine protease CM clan	Cysteine protease C18 family	NULL
Q91H74	Enzyme	Protease	Cysteine protease	Cysteine protease CM clan	Cysteine protease C18 family	NULL
P26662	Enzyme	Protease	Cysteine protease	Cysteine protease CM clan	Cysteine protease C18 family	NULL
P25975	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P09668	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P53634	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P07154	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P07688	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q9UBX1	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P00787	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P25774	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
O35186	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P43234	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P43235	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
O60911	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P43236	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P97821	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q8I6U4	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q3HTL5	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P25779	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P36400	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P07711	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P07858	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q94715	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
O70370	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q9UBR2	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q95PM0	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q9NBA7	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q95WR6	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P00784	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P10605	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P06797	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q3ZCJ8	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q9N6S8	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q9NBD4	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q6R7Z5	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q02765	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
P55097	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q8I6V0	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q8IIL0	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q9NAW2	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q3ZKN1	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
H9B8T9	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q9NAW4	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
O97578	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C1A family	NULL
Q9ES66	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C2A subfamily	NULL
Q99538	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C13 family	NULL
O89017	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C13 family	NULL
Q95M12	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C13 family	NULL
P49662	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
P55211	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
P42574	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
P51878	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
P55212	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
P55210	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
Q14790	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
P29452	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
P29466	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
P42575	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
Q92851	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	NULL
P72197	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C25 family	NULL
P08473	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
P42891	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
Q61391	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
P42893	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
P07861	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
P08049	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
F1N476	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
P42892	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
P0DPD6	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
P19621	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M13 family	NULL
P04958	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M27 family	NULL
P10845	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M27 family	NULL
A5HZZ9	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M27 family	NULL
Q45894	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M27 family	NULL
P10844	Enzyme	Protease	Metallo protease	Metallo protease MH clan	Metallo protease M28 family	NULL
P15917	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M34 family	NULL
P43153	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M9B subfamily	NULL
P15085	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
Q8WXQ8	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
P15086	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
Q9UI42	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
P15088	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
Q96IY4	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
P00730	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
P09955	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
Q8N4T0	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
P48052	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
Q3T905	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14A subfamily	NULL
P14384	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14B subfamily	NULL
P15169	Enzyme	Protease	Metallo protease	Metallo protease MC clan	Metallo protease M14B subfamily	NULL
P53582	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24A subfamily	NULL
Q01662	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24A subfamily	NULL
P0AE18	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24A subfamily	NULL
P50579	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24A subfamily	NULL
P56218	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24A subfamily	NULL
O08663	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24A subfamily	NULL
Q5HEN6	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24A subfamily	NULL
Q99MA2	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24B subfamily	NULL
Q9NQW7	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24B subfamily	NULL
P12955	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24B subfamily	NULL
O43895	Enzyme	Protease	Metallo protease	Metallo protease MG clan	Metallo protease M24B subfamily	NULL
Q9I056	Enzyme	Protease	Metallo protease	Metallo protease MH clan	Metallo protease M20A subfamily	NULL
Q01693	Enzyme	Protease	Metallo protease	Metallo protease MH clan	Metallo protease M28 family	Metallo protease M28A subfamily
Q04609	Enzyme	Protease	Metallo protease	Metallo protease MH clan	Metallo protease M28 family	Metallo protease M28B subfamily
Q9Y3Q0	Enzyme	Protease	Metallo protease	Metallo protease MH clan	Metallo protease M28 family	Metallo protease M28B subfamily
P70627	Enzyme	Protease	Metallo protease	Metallo protease MH clan	Metallo protease M28 family	Metallo protease M28B subfamily
Q61144	Enzyme	Protease	Aspartic protease	Aspartic protease AD clan	Aspartic protease A22A subfamily	NULL
P49769	Enzyme	Protease	Aspartic protease	Aspartic protease AD clan	Aspartic protease A22A subfamily	NULL
P17811	Enzyme	Protease	Aspartic protease	Aspartic protease AF clan	Aspartic protease A26 family	NULL
P15374	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C12 family	NULL
Q9Y5K5	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C12 family	NULL
P45974	Enzyme	Protease	Cysteine protease	Cysteine protease CA clan	Cysteine protease C19 family	NULL
P09870	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C11 family	NULL
P70677	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	Cysteine protease C14A subfamily
P55213	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	Cysteine protease C14A subfamily
P31944	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	Cysteine protease C14A subfamily
P70343	Enzyme	Protease	Cysteine protease	Cysteine protease CD clan	Cysteine protease C14 family	Cysteine protease C14A subfamily
Q4U254	Enzyme	Protease	Cysteine protease	Cysteine protease PAC clan	Cysteine protease C3A subfamily	NULL
P03300	Enzyme	Protease	Cysteine protease	Cysteine protease PAC clan	Cysteine protease C3A subfamily	NULL
Q2Q167	Enzyme	Protease	Cysteine protease	Cysteine protease PAC clan	Cysteine protease C3A subfamily	NULL
Q91H74	Enzyme	Protease	Cysteine protease	Cysteine protease PAC clan	Cysteine protease C3A subfamily	NULL
Q9YQ12	Enzyme	Protease	Cysteine protease	Cysteine protease PAC clan	Cysteine protease C3A subfamily	NULL
Q82323	Enzyme	Protease	Cysteine protease	Cysteine protease PAC clan	Cysteine protease C3A subfamily	NULL
Q92820	Enzyme	Protease	Cysteine protease	Cysteine protease PCC clan	Cysteine protease C26 family	NULL
Q9UHG2	Enzyme	Protease	Protease inhibitor	Protease inhibitor unclassified clan	Protease inhibitor I49 family	NULL
Q80W54	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M48A subfamily	NULL
O75844	Enzyme	Protease	Metallo protease	Metallo protease MAE clan	Metallo protease M48A subfamily	NULL
P51512	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P41245	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
O88766	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P34960	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P24347	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
Q9ULZ9	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P51511	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P08254	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P33434	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
Q02853	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P50281	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P50282	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P08253	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P09237	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P14780	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P09238	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P39900	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P22894	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P45452	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
Q9NRE1	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
Q9H239	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P23097	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P03956	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
Q9Y5R2	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
O77656	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
Q63341	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P33436	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P52176	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P79227	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M10A subfamily	NULL
P13497	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12A subfamily	NULL
P12644	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12A subfamily	NULL
P12643	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12A subfamily	NULL
P21275	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12A subfamily	NULL
P22004	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12A subfamily	NULL
O95393	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12A subfamily	NULL
Q9UNA0	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
O75173	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
Q9Z1K9	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
Q9TT92	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
O77636	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
P78536	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
Q9TT93	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
Q9Z0F8	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
O14672	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
O43184	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
Q9UHI8	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
P78325	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
Q13443	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
Q9BZ11	Enzyme	Protease	Metallo protease	Metallo protease MAM clan	Metallo protease M12B subfamily	NULL
Q9H6P5	Enzyme	Protease	Threonine protease	Threonine protease PBT clan	Threonine protease T2 family	NULL
P49721	Enzyme	Protease	Threonine protease	Threonine protease PBT clan	Threonine protease T1A subfamily	NULL
P22141	Enzyme	Protease	Threonine protease	Threonine protease PBT clan	Threonine protease T1A subfamily	NULL
P20618	Enzyme	Protease	Threonine protease	Threonine protease PBT clan	Threonine protease T1A subfamily	NULL
