parent_molregno	chembl_id	pref_name	median Molar total plasma concentration	median pMolar total plasma concentration	median Molar unbound plasma concentration	median pMolar unbound plasma concentration	accession	summary	Ratio	Difference	integrated_plasma_activity
192908	CHEMBL1175	DULOXETINE	4.0346984062941287e-07	6.3941889232411695	1.815614282832358e-08	7.740976409465826	P23975	7.925000000000001	1.2394066073329084	1.5308110767588312	1
192908	CHEMBL1175	DULOXETINE	4.0346984062941287e-07	6.3941889232411695	1.815614282832358e-08	7.740976409465826	P31645	8.32	1.3011814476983972	1.9258110767588308	1
192908	CHEMBL1175	DULOXETINE	4.0346984062941287e-07	6.3941889232411695	1.815614282832358e-08	7.740976409465826	P42858	4.45	0.6959444041175321	-1.9441889232411693	0
192908	CHEMBL1175	DULOXETINE	4.0346984062941287e-07	6.3941889232411695	1.815614282832358e-08	7.740976409465826	Q01959	6.275	0.981359805806183	-0.11918892324116914	1
192908	CHEMBL1175	DULOXETINE	4.0346984062941287e-07	6.3941889232411695	1.815614282832358e-08	7.740976409465826	Q03164	5.15	0.8054188047652339	-1.2441889232411691	0
192908	CHEMBL1175	DULOXETINE	4.0346984062941287e-07	6.3941889232411695	1.815614282832358e-08	7.740976409465826	Q13936	4.6	0.7194032042563253	-1.7941889232411699	0
192908	CHEMBL1175	DULOXETINE	4.0346984062941287e-07	6.3941889232411695	1.815614282832358e-08	7.740976409465826	Q14524	4.8	0.7506816044413829	-1.5941889232411697	0
196215	CHEMBL1185	ZOLMITRIPTAN	3.479955456570156e-08	7.458426314987212	2.6099665924276166e-08	7.5833650515955116	P08908	7.11	0.9532842049686713	-0.3484263149872113	1
208749	CHEMBL1194	PRILOCAINE	6.354393609295572e-07	6.1969258872346105	4.57516339869281e-07	6.339593390803343	P02545	4.6	0.7423035362542891	-1.5969258872346108	0
208749	CHEMBL1194	PRILOCAINE	6.354393609295572e-07	6.1969258872346105	4.57516339869281e-07	6.339593390803343	P10253	5.4	0.8713998034289483	-0.7969258872346101	1
