accession	parent_molregno	integrated_plasma_activity	predicted
Q16637	1325	0.0	0
Q6W5P4	1325	0.0	0
Q99714	1325	1.0	0
Q9NUW8	1325	0.0	0
O43570	1333	1.0	0
P00915	1333	0.0	0
P00918	1333	1.0	0
P07451	1333	0.0	0
P08913	1333	0.0	0
P10636	1333	0.0	0
P14416	1333	1.0	0
P21917	1333	0.0	0
P23280	1333	1.0	0
P35218	1333	1.0	0
P35462	1333	1.0	0
P43166	1333	1.0	0
P54132	1333	1.0	0
Q16790	1333	1.0	0
Q9Y2D0	1333	1.0	0
P02545	1354	0.0	0
P08588	1354	1.0	0
P54132	1354	0.0	0
O43570	1362	0.0	0
P00352	1362	0.0	0
P00915	1362	0.0	0
P00918	1362	0.0	0
P22748	1362	0.0	0
P23280	1362	0.0	0
P43166	1362	0.0	0
Q16637	1362	0.0	0
Q16790	1362	0.0	0
Q9ULX7	1362	0.0	0
P42858	1369	0.0	0
P00352	1370	0.0	0
P05177	1370	0.0	0
P07550	1370	1.0	0
P08588	1370	1.0	0
P08908	1370	0.0	0
P10635	1370	0.0	0
P13945	1370	1.0	0
P16473	1370	0.0	0
P28223	1370	1.0	0
P28335	1370	0.0	0
P28482	1370	0.0	0
P31645	1370	1.0	0
P41595	1370	1.0	0
P50406	1370	0.0	0
Q13936	1370	0.0	0
Q16637	1370	0.0	0
Q99720	1370	0.0	0
P02545	1470	0.0	0
P04637	1470	0.0	0
P10636	1470	0.0	0
P16473	1470	0.0	0
P42858	1470	0.0	0
Q16637	1615	0.0	0
P02545	1620	0.0	0
P16473	1620	0.0	0
P25021	1620	1.0	0
Q16637	1620	0.0	0
Q96FL8	1620	0.0	0
P00352	1712	0.0	0
P16050	1712	0.0	0
Q99714	1712	0.0	0
Q9NUW8	1712	0.0	0
P00352	1785	0.0	0
P02545	1785	1.0	0
P07550	1785	1.0	0
P08588	1785	1.0	0
P10635	1785	1.0	0
P23975	1785	0.0	0
P25100	1785	1.0	0
P41595	1785	0.0	0
Q01959	1785	0.0	0
Q16637	1785	0.0	0
Q99714	1785	0.0	0
Q99720	1785	0.0	0
Q96FL8	1795	0.0	0
P02545	1853	1.0	0
Q99714	1853	0.0	0
P07550	1994	1.0	0
P08588	1994	1.0	0
P10636	1994	0.0	0
P13945	1994	1.0	0
