accession	parent_molregno	integrated_plasma_activity	predicted
O75604	1219	0	0
O95342	1219	0	0
P02545	1219	0	0
P08183	1219	0	0
P08913	1219	1	0
P16473	1219	0	0
P25021	1219	0	0
P28223	1219	1	0
P28335	1219	1	0
P31645	1219	1	0
P33527	1219	0	0
P35462	1219	1	0
P41595	1219	1	0
P46063	1219	0	0
Q01453	1219	0	0
Q12809	1219	1	0
Q13936	1219	0	0
Q14524	1219	0	0
Q16637	1219	0	0
Q6W5P4	1219	0	0
Q9UNQ0	1219	0	0
P00352	1223	0	0
P00915	1223	0	0
P00918	1223	0	0
P02545	1223	1	0
P03956	1223	0	0
P10636	1223	0	0
P15428	1223	0	0
P16473	1223	0	0
P24557	1223	0	0
P28482	1223	0	0
P29466	1223	0	0
Q16665	1223	1	0
Q9UPY5	1223	0	0
O15245	1278	0	0
P02545	1278	0	0
P08183	1278	0	0
P08684	1278	0	0
P10828	1278	0	0
P16473	1278	0	0
P42858	1278	0	0
P54132	1278	1	0
Q03164	1278	0	0
Q12809	1278	0	0
Q13936	1278	0	0
P02545	1279	1	0
P07550	1279	0	0
P08588	1279	1	0
P0DMS8	1279	1	0
Q9NUW8	1279	1	0
B2RXH2	1280	0	0
P00352	1280	0	0
P05106	1280	0	0
P08514	1280	0	0
P15428	1280	0	0
P16473	1280	1	0
P23219	1280	0	0
P35354	1280	0	0
P54132	1280	1	0
Q99714	1280	0	0
Q9NUW8	1280	0	0
B2RXH2	1325	0	0
O15118	1325	0	0
O75496	1325	0	0
O75604	1325	0	0
O94782	1325	0	0
P00352	1325	0	0
P02545	1325	0	0
P04637	1325	0	0
P06746	1325	0	0
P08183	1325	0	0
P10636	1325	0	0
P16050	1325	0	0
P16473	1325	0	0
P19838	1325	0	0
P28482	1325	0	0
P40225	1325	0	0
P42345	1325	0	0
P42858	1325	0	0
P43351	1325	0	0
P51151	1325	0	0
P78527	1325	0	0
Q01453	1325	0	0
Q12809	1325	0	0
Q15125	1325	1	0
Q16637	1325	0	0
Q6W5P4	1325	0	0
Q8TAF3	1325	0	0
Q99714	1325	1	0
Q9BY08	1325	1	0
Q9NUW8	1325	0	0
O43570	1333	1	0
P00915	1333	0	0
P00918	1333	1	0
P07451	1333	0	0
P08913	1333	0	0
P10636	1333	0	0
P14416	1333	1	0
P21917	1333	0	0
P23280	1333	1	0
P35218	1333	1	0
P35462	1333	1	0
P43166	1333	1	0
P54132	1333	1	0
Q16790	1333	1	0
Q9Y2D0	1333	1	0
P02545	1354	0	0
P08588	1354	1	0
P10253	1354	0	0
P54132	1354	0	0
B2RXH2	1362	0	0
O43570	1362	0	0
P00352	1362	0	0
P00915	1362	0	0
P00918	1362	0	0
P15428	1362	0	0
P22748	1362	0	0
P23280	1362	0	0
P43166	1362	0	0
Q16637	1362	0	0
Q16790	1362	0	0
Q9ULX7	1362	0	0
P42858	1369	0	0
O15245	1370	0	0
P00352	1370	0	0
P05177	1370	0	0
P07550	1370	1	0
P08588	1370	1	0
P08908	1370	0	0
P10635	1370	0	0
P13945	1370	1	0
P16473	1370	0	0
P28223	1370	1	0
P28335	1370	0	0
P28482	1370	0	0
P31645	1370	1	0
P41595	1370	1	0
P50406	1370	0	0
Q01453	1370	0	0
Q13936	1370	0	0
Q14524	1370	0	0
Q14973	1370	0	0
Q16637	1370	0	0
Q99720	1370	0	0
P02545	1470	0	0
P04637	1470	0	0
P10636	1470	0	0
P16473	1470	0	0
P42858	1470	0	0
P68871	1470	0	0
P06746	1615	0	0
P21462	1615	0	0
Q16637	1615	0	0
Q8TCC7	1615	0	0
O15244	1620	0	0
P02545	1620	0	0
P06280	1620	0	0
P16473	1620	0	0
P25021	1620	1	0
P27695	1620	0	0
Q16637	1620	0	0
Q8TCC7	1620	0	0
Q96FL8	1620	0	0
B2RXH2	1712	0	0
P00352	1712	0	0
P15428	1712	0	0
P16050	1712	0	0
Q99714	1712	0	0
Q9NUW8	1712	0	0
B2RXH2	1785	0	0
P00352	1785	0	0
P02545	1785	1	0
P07550	1785	1	0
P08588	1785	1	0
P10253	1785	0	0
P10635	1785	1	0
P15428	1785	0	0
P23975	1785	0	0
P25100	1785	1	0
P41595	1785	0	0
Q01959	1785	0	0
Q16637	1785	0	0
Q99714	1785	0	0
Q99720	1785	0	0
B2RXH2	1795	0	0
P06746	1795	0	0
Q96FL8	1795	0	0
Q9Y256	1795	0	0
B2RXH2	1853	0	0
P02545	1853	1	0
Q99714	1853	0	0
B2RXH2	1994	0	0
P06746	1994	0	0
P07550	1994	1	0
P08588	1994	1	0
P10253	1994	0	0
P10636	1994	0	0
