parent_molregno	chembl_id	pref_name	median Molar total plasma concentration	median pMolar total plasma concentration	median Molar unbound plasma concentration	median pMolar unbound plasma concentration	accession	summary	Ratio	Difference	integrated_plasma_activity
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P35368	9.195	1.0811945742011637	0.6905178102020262	1
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P40225	4.7	0.5526497551653583	-3.804482189797974	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P41595	5.48	0.6443660975119496	-3.0244821897979737	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P42345	4.78	0.5620565595085985	-3.724482189797974	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	P54132	4.6	0.540891249736308	-3.9044821897979745	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q01453	4.62	0.5432429508221182	-3.884482189797974	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q12809	4.7	0.5526497551653583	-3.804482189797974	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q16637	4.6	0.540891249736308	-3.9044821897979745	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q16665	4.7	0.5526497551653583	-3.804482189797974	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q96FL8	5.8	0.6819933148849101	-2.7044821897979743	0
97	CHEMBL2	PRAZOSIN	5.216348034740878e-08	7.282633440181618	3.1298088208445267e-09	8.504482189797974	Q99714	4.75	0.5585290078798834	-3.754482189797974	0
115	CHEMBL3	NICOTINE	1.8491124260355032e-07	6.733036682933579	1.756656804733728e-07	6.755313077644732	B2RXH2	4.4	0.651339168063263	-2.3553130776447313	0
115	CHEMBL3	NICOTINE	1.8491124260355032e-07	6.733036682933579	1.756656804733728e-07	6.755313077644732	P00352	4.55	0.673543912429056	-2.205313077644732	0
115	CHEMBL3	NICOTINE	1.8491124260355032e-07	6.733036682933579	1.756656804733728e-07	6.755313077644732	P10636	4.65	0.6883470753395847	-2.1053130776447313	0
115	CHEMBL3	NICOTINE	1.8491124260355032e-07	6.733036682933579	1.756656804733728e-07	6.755313077644732	P54132	6.05	0.8955913560869866	-0.7053130776447318	1
