tid	pref_name	target_type	accession	accession_organism	target_organism
101282	Muscle, skeletal receptor tyrosine protein kinase	SINGLE PROTEIN	O15146	Homo sapiens	Homo sapiens
101283	Solute carrier family 22 member 1	SINGLE PROTEIN	O15245	Homo sapiens	Homo sapiens
101287	Tryptophan 5-hydroxylase 1	SINGLE PROTEIN	P17752	Homo sapiens	Homo sapiens
101290	Pituitary adenylate cyclase-activating polypeptide	SINGLE PROTEIN	P18509	Homo sapiens	Homo sapiens
101292	DNA ligase 1	SINGLE PROTEIN	P18858	Homo sapiens	Homo sapiens
101294	Gamma-glutamyltranspeptidase 1	SINGLE PROTEIN	P19440	Homo sapiens	Homo sapiens
101502	Egl nine homolog 1	SINGLE PROTEIN	Q9GZT9	Homo sapiens	Homo sapiens
101503	NUAK family SNF1-like kinase 2	SINGLE PROTEIN	Q9H093	Homo sapiens	Homo sapiens
101504	Serine/threonine-protein kinase SIK2	SINGLE PROTEIN	Q9H0K1	Homo sapiens	Homo sapiens
101505	Lysophosphatidic acid receptor 5	SINGLE PROTEIN	Q9H1C0	Homo sapiens	Homo sapiens
101506	Serine/threonine-protein kinase TAO3	SINGLE PROTEIN	Q9H2K8	Homo sapiens	Homo sapiens
101508	Tyrosine-protein kinase Srms	SINGLE PROTEIN	Q9H3Y6	Homo sapiens	Homo sapiens
101509	Elongation of very long chain fatty acids protein 6	SINGLE PROTEIN	Q9H5J4	Homo sapiens	Homo sapiens
101510	Egl nine homolog 3	SINGLE PROTEIN	Q9H6Z9	Homo sapiens	Homo sapiens
101511	COP9 signalosome complex subunit 7b	SINGLE PROTEIN	Q9H9Q2	Homo sapiens	Homo sapiens
101512	Solute carrier family 28 member 3	SINGLE PROTEIN	Q9HAS3	Homo sapiens	Homo sapiens
103042	Dual specificity tyrosine-phosphorylation-regulated kinase 4	SINGLE PROTEIN	Q9NR20	Homo sapiens	Homo sapiens
103043	DNA-binding protein inhibitor ID-1	SINGLE PROTEIN	P41134	Homo sapiens	Homo sapiens
103046	Kinesin-like protein KIFC3	SINGLE PROTEIN	Q9BVG8	Homo sapiens	Homo sapiens
103047	Diacylglycerol kinase delta	SINGLE PROTEIN	Q16760	Homo sapiens	Homo sapiens
103048	Putative hydrolase RBBP9	SINGLE PROTEIN	O75884	Homo sapiens	Homo sapiens
103054	Pyruvate kinase isozymes R/L	SINGLE PROTEIN	P30613	Homo sapiens	Homo sapiens
103055	Baculoviral IAP repeat-containing protein 7	SINGLE PROTEIN	Q96CA5	Homo sapiens	Homo sapiens
103057	Cofilin-1	SINGLE PROTEIN	P23528	Homo sapiens	Homo sapiens
101295	Tumor necrosis factor ligand superfamily member 6	SINGLE PROTEIN	P48023	Homo sapiens	Homo sapiens
101296	Paxillin	SINGLE PROTEIN	P49023	Homo sapiens	Homo sapiens
101297	Nuclear receptor subfamily 2 group C member 2	SINGLE PROTEIN	P49116	Homo sapiens	Homo sapiens
101300	Cell division protein kinase 8	SINGLE PROTEIN	P49336	Homo sapiens	Homo sapiens
101302	GMP synthase [glutamine-hydrolyzing]	SINGLE PROTEIN	P49915	Homo sapiens	Homo sapiens
101303	Ectonucleoside triphosphate diphosphohydrolase 1	SINGLE PROTEIN	P49961	Homo sapiens	Homo sapiens
101309	Cyclin-dependent kinase-like 2	SINGLE PROTEIN	Q92772	Homo sapiens	Homo sapiens
101521	Complement factor B	SINGLE PROTEIN	P00751	Homo sapiens	Homo sapiens
101524	Pro-epidermal growth factor	SINGLE PROTEIN	P01133	Homo sapiens	Homo sapiens
101526	Glucagon	SINGLE PROTEIN	P01275	Homo sapiens	Homo sapiens
101527	VIP peptides	SINGLE PROTEIN	P01282	Homo sapiens	Homo sapiens
101532	Translocator protein	SINGLE PROTEIN	P30536	Homo sapiens	Homo sapiens
103059	Lactase-phlorizin hydrolase	SINGLE PROTEIN	P09848	Homo sapiens	Homo sapiens
103061	Heat shock protein 75 kDa, mitochondrial	SINGLE PROTEIN	Q12931	Homo sapiens	Homo sapiens
103062	G protein-coupled receptor kinase 7	SINGLE PROTEIN	Q8WTQ7	Homo sapiens	Homo sapiens
103068	Proteasome assembly chaperone 3	SINGLE PROTEIN	Q9BT73	Homo sapiens	Homo sapiens
103069	Tyrosyl-DNA phosphodiesterase 1	SINGLE PROTEIN	Q9NUW8	Homo sapiens	Homo sapiens
103070	Ribosomal L1 domain-containing protein 1	SINGLE PROTEIN	O76021	Homo sapiens	Homo sapiens
101310	CREB-binding protein	SINGLE PROTEIN	Q92793	Homo sapiens	Homo sapiens
101311	Canalicular multispecific organic anion transporter 1	SINGLE PROTEIN	Q92887	Homo sapiens	Homo sapiens
101312	Mitogen-activated protein kinase kinase kinase kinase 1	SINGLE PROTEIN	Q92918	Homo sapiens	Homo sapiens
101313	Histone acetyltransferase KAT5	SINGLE PROTEIN	Q92993	Homo sapiens	Homo sapiens
101316	Uncharacterized aarF domain-containing protein kinase 4	SINGLE PROTEIN	Q96D53	Homo sapiens	Homo sapiens
101317	MAP/microtubule affinity-regulating kinase 4	SINGLE PROTEIN	Q96L34	Homo sapiens	Homo sapiens
101537	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	SINGLE PROTEIN	P31040	Homo sapiens	Homo sapiens
101538	Mitogen-activated protein kinase 4	SINGLE PROTEIN	P31152	Homo sapiens	Homo sapiens
101541	Sodium- and chloride-dependent taurine transporter	SINGLE PROTEIN	P31641	Homo sapiens	Homo sapiens
103075	Neuromedin-U receptor 2	SINGLE PROTEIN	Q9GZQ4	Homo sapiens	Homo sapiens
103079	Transitional endoplasmic reticulum ATPase	SINGLE PROTEIN	P55072	Homo sapiens	Homo sapiens
103088	Cystine/glutamate transporter	SINGLE PROTEIN	Q9UPY5	Homo sapiens	Homo sapiens
103091	Glucokinase regulatory protein	SINGLE PROTEIN	Q14397	Homo sapiens	Homo sapiens
103092	Tumor necrosis factor receptor superfamily member 10B	SINGLE PROTEIN	O14763	Homo sapiens	Homo sapiens
103095	Serine/threonine-protein kinase 38	SINGLE PROTEIN	Q15208	Homo sapiens	Homo sapiens
101324	Mitogen-activated protein kinase kinase kinase 7	SINGLE PROTEIN	O43318	Homo sapiens	Homo sapiens
101325	Bcl-2-like protein 11	SINGLE PROTEIN	O43521	Homo sapiens	Homo sapiens
101326	Forkhead box protein O3	SINGLE PROTEIN	O43524	Homo sapiens	Homo sapiens
101327	Linker for activation of T-cells family member 1	SINGLE PROTEIN	O43561	Homo sapiens	Homo sapiens
101332	NUAK family SNF1-like kinase 1	SINGLE PROTEIN	O60285	Homo sapiens	Homo sapiens
101333	Interferon-induced, double-stranded RNA-activated protein kinase	SINGLE PROTEIN	P19525	Homo sapiens	Homo sapiens
101336	Cation-dependent mannose-6-phosphate receptor	SINGLE PROTEIN	P20645	Homo sapiens	Homo sapiens
101552	Cyclin-dependent kinase-like 1	SINGLE PROTEIN	Q00532	Homo sapiens	Homo sapiens
101553	Serine/threonine-protein kinase PCTAIRE-2	SINGLE PROTEIN	Q00537	Homo sapiens	Homo sapiens
101554	Elongation of very long chain fatty acids protein 3	SINGLE PROTEIN	Q9HB03	Homo sapiens	Homo sapiens
101555	Cytochrome P450 3A43	SINGLE PROTEIN	Q9HB55	Homo sapiens	Homo sapiens
101556	Gamma-parvin	SINGLE PROTEIN	Q9HBI0	Homo sapiens	Homo sapiens
101557	Serine/threonine-protein kinase Sgk2	SINGLE PROTEIN	Q9HBY8	Homo sapiens	Homo sapiens
101567	Toll-like receptor 9	SINGLE PROTEIN	Q9NR96	Homo sapiens	Homo sapiens
101569	Glycophorin-A	SINGLE PROTEIN	P02724	Homo sapiens	Homo sapiens
103085	Diacylglycerol kinase gamma	SINGLE PROTEIN	P49619	Homo sapiens	Homo sapiens
103101	Uracil nucleotide/cysteinyl leukotriene receptor	SINGLE PROTEIN	Q13304	Homo sapiens	Homo sapiens
103102	Serine/threonine-protein kinase haspin	SINGLE PROTEIN	Q8TF76	Homo sapiens	Homo sapiens
103104	Phosphatidylinositol 3-kinase catalytic subunit type 3	SINGLE PROTEIN	Q8NEB9	Homo sapiens	Homo sapiens
103105	Beta-adrenergic receptor kinase 2	SINGLE PROTEIN	P35626	Homo sapiens	Homo sapiens
103106	Homeodomain-interacting protein kinase 4	SINGLE PROTEIN	Q8NE63	Homo sapiens	Homo sapiens
103108	Protein tyrosine phosphatase type IVA 1	SINGLE PROTEIN	Q93096	Homo sapiens	Homo sapiens
101337	Myelin-associated glycoprotein	SINGLE PROTEIN	P20916	Homo sapiens	Homo sapiens
101338	PITSLRE serine/threonine-protein kinase CDC2L1	SINGLE PROTEIN	P21127	Homo sapiens	Homo sapiens
101340	Ephrin type-A receptor 1	SINGLE PROTEIN	P21709	Homo sapiens	Homo sapiens
101341	Macrophage scavenger receptor types I and II	SINGLE PROTEIN	P21757	Homo sapiens	Homo sapiens
101342	Dynamin-2	SINGLE PROTEIN	P50570	Homo sapiens	Homo sapiens
101343	Tumor necrosis factor ligand superfamily member 10	SINGLE PROTEIN	P50591	Homo sapiens	Homo sapiens
101344	Peroxisomal multifunctional enzyme type 2	SINGLE PROTEIN	P51659	Homo sapiens	Homo sapiens
101345	C-C chemokine receptor type 9	SINGLE PROTEIN	P51686	Homo sapiens	Homo sapiens
101347	Signal transducer and activator of transcription 5B	SINGLE PROTEIN	P51692	Homo sapiens	Homo sapiens
101349	Serine/threonine-protein kinase Nek4	SINGLE PROTEIN	P51957	Homo sapiens	Homo sapiens
101580	Angiogenin	SINGLE PROTEIN	P03950	Homo sapiens	Homo sapiens
102676	Ephrin type-B receptor 6	SINGLE PROTEIN	O15197	Homo sapiens	Homo sapiens
102677	Erythropoietin	SINGLE PROTEIN	P01588	Homo sapiens	Homo sapiens
102678	Receptor tyrosine-protein kinase erbB-3	SINGLE PROTEIN	P21860	Homo sapiens	Homo sapiens
102679	Delta(14)-sterol reductase	SINGLE PROTEIN	O76062	Homo sapiens	Homo sapiens
102680	Fatty acid desaturase 1	SINGLE PROTEIN	O60427	Homo sapiens	Homo sapiens
102682	Low affinity immunoglobulin gamma Fc region receptor II-a	SINGLE PROTEIN	P12318	Homo sapiens	Homo sapiens
102683	Low affinity immunoglobulin gamma Fc region receptor III-B	SINGLE PROTEIN	O75015	Homo sapiens	Homo sapiens
102684	UDP-glucose 4-epimerase	SINGLE PROTEIN	Q14376	Homo sapiens	Homo sapiens
102687	Glucagon-like peptide 2 receptor	SINGLE PROTEIN	O95838	Homo sapiens	Homo sapiens
102688	Glycine receptor subunit alpha-1	SINGLE PROTEIN	P23415	Homo sapiens	Homo sapiens
103114	Serine/threonine-protein kinase WNK1	SINGLE PROTEIN	Q9H4A3	Homo sapiens	Homo sapiens
103121	Neuromedin-U receptor 1	SINGLE PROTEIN	Q9HB89	Homo sapiens	Homo sapiens
103124	CD81 antigen	SINGLE PROTEIN	P60033	Homo sapiens	Homo sapiens
103125	Pyridoxal kinase	SINGLE PROTEIN	O00764	Homo sapiens	Homo sapiens
103113	Proto-oncogene serine/threonine-protein kinase mos	SINGLE PROTEIN	P00540	Homo sapiens	Homo sapiens
101351	Aldo-keto reductase family 1 member C2	SINGLE PROTEIN	P52895	Homo sapiens	Homo sapiens
101353	Mas-related G-protein coupled receptor member X2	SINGLE PROTEIN	Q96LB1	Homo sapiens	Homo sapiens
101354	Mas-related G-protein coupled receptor member X1	SINGLE PROTEIN	Q96LB2	Homo sapiens	Homo sapiens
101355	Baculoviral IAP repeat-containing protein 8	SINGLE PROTEIN	Q96P09	Homo sapiens	Homo sapiens
101356	Pyroglutamylated RFamide peptide receptor	SINGLE PROTEIN	Q96P65	Homo sapiens	Homo sapiens
101357	Diacylglycerol O-acyltransferase 2	SINGLE PROTEIN	Q96PD7	Homo sapiens	Homo sapiens
101358	Adenylate cyclase type 10	SINGLE PROTEIN	Q96PN6	Homo sapiens	Homo sapiens
101359	Serine/threonine-protein kinase Nek1	SINGLE PROTEIN	Q96PY6	Homo sapiens	Homo sapiens
101360	Serine/threonine-protein kinase PFTAIRE-2	SINGLE PROTEIN	Q96Q40	Homo sapiens	Homo sapiens
101361	Trace amine-associated receptor 1	SINGLE PROTEIN	Q96RJ0	Homo sapiens	Homo sapiens
101584	G protein-coupled receptor kinase 4	SINGLE PROTEIN	P32298	Homo sapiens	Homo sapiens
101587	Kinesin-1 heavy chain	SINGLE PROTEIN	P33176	Homo sapiens	Homo sapiens
101589	Catenin beta-1	SINGLE PROTEIN	P35222	Homo sapiens	Homo sapiens
101591	Nuclear receptor ROR-alpha	SINGLE PROTEIN	P35398	Homo sapiens	Homo sapiens
101592	Heat shock factor protein 1	SINGLE PROTEIN	Q00613	Homo sapiens	Homo sapiens
101593	Centromere-associated protein E	SINGLE PROTEIN	Q02224	Homo sapiens	Homo sapiens
102689	Glycine receptor subunit alpha-2	SINGLE PROTEIN	P23416	Homo sapiens	Homo sapiens
102690	G-protein coupled estrogen receptor 1	SINGLE PROTEIN	Q99527	Homo sapiens	Homo sapiens
102691	Solute carrier family 2, facilitated glucose transporter member 2	SINGLE PROTEIN	P11168	Homo sapiens	Homo sapiens
102692	Solute carrier family 2, facilitated glucose transporter member 4	SINGLE PROTEIN	P14672	Homo sapiens	Homo sapiens
102693	Solute carrier family 2, facilitated glucose transporter member 5	SINGLE PROTEIN	P22732	Homo sapiens	Homo sapiens
102694	Histone H4	SINGLE PROTEIN	P62805	Homo sapiens	Homo sapiens
102695	Beta-hexosaminidase subunit beta	SINGLE PROTEIN	P07686	Homo sapiens	Homo sapiens
102696	Histidine triad nucleotide-binding protein 1	SINGLE PROTEIN	P49773	Homo sapiens	Homo sapiens
102698	Hematopoietic prostaglandin D synthase	SINGLE PROTEIN	O60760	Homo sapiens	Homo sapiens
102699	Interleukin-2	SINGLE PROTEIN	P60568	Homo sapiens	Homo sapiens
102700	Insulin	SINGLE PROTEIN	P01308	Homo sapiens	Homo sapiens
102701	Integrin alpha-10	SINGLE PROTEIN	O75578	Homo sapiens	Homo sapiens
102702	Integrin alpha-11	SINGLE PROTEIN	Q9UKX5	Homo sapiens	Homo sapiens
102705	Voltage-gated potassium channel subunit beta-1	SINGLE PROTEIN	Q14722	Homo sapiens	Homo sapiens
102706	Potassium voltage-gated channel subfamily D member 2	SINGLE PROTEIN	Q9NZV8	Homo sapiens	Homo sapiens
103131	Diacylglycerol kinase epsilon	SINGLE PROTEIN	P52429	Homo sapiens	Homo sapiens
103134	Pyruvate kinase isozymes M1/M2	SINGLE PROTEIN	P14618	Homo sapiens	Homo sapiens
103140	Serine/threonine-protein kinase TAO2	SINGLE PROTEIN	Q9UL54	Homo sapiens	Homo sapiens
103128	Kinesin-like protein KIF3C	SINGLE PROTEIN	O14782	Homo sapiens	Homo sapiens
101364	D-aspartate oxidase	SINGLE PROTEIN	Q99489	Homo sapiens	Homo sapiens
101365	Mitogen-activated protein kinase kinase kinase 14	SINGLE PROTEIN	Q99558	Homo sapiens	Homo sapiens
101366	Kinesin-like protein KIF1B	SINGLE PROTEIN	O60333	Homo sapiens	Homo sapiens
101367	Endothelin-converting enzyme 2	SINGLE PROTEIN	P0DPD6	Homo sapiens	Homo sapiens
101368	Protein arginine N-methyltransferase 3	SINGLE PROTEIN	O60678	Homo sapiens	Homo sapiens
101369	Endothelin B receptor-like protein 2	SINGLE PROTEIN	O60883	Homo sapiens	Homo sapiens
101370	Ribonuclease H1	SINGLE PROTEIN	O60930	Homo sapiens	Homo sapiens
101373	Lysine-specific demethylase 4A	SINGLE PROTEIN	O75164	Homo sapiens	Homo sapiens
101374	Ectonucleoside triphosphate diphosphohydrolase 3	SINGLE PROTEIN	O75355	Homo sapiens	Homo sapiens
101375	Lactoperoxidase	SINGLE PROTEIN	P22079	Homo sapiens	Homo sapiens
101594	Kinesin-like protein KIF23	SINGLE PROTEIN	Q02241	Homo sapiens	Homo sapiens
101598	Activin receptor type-1	SINGLE PROTEIN	Q04771	Homo sapiens	Homo sapiens
101600	Aldo-keto reductase family 1 member C1	SINGLE PROTEIN	Q04828	Homo sapiens	Homo sapiens
101602	Serine/threonine-protein kinase LATS2	SINGLE PROTEIN	Q9NRM7	Homo sapiens	Homo sapiens
101603	Protection of telomeres protein 1	SINGLE PROTEIN	Q9NUX5	Homo sapiens	Homo sapiens
101604	Hypoxia-inducible factor 1-alpha inhibitor	SINGLE PROTEIN	Q9NWT6	Homo sapiens	Homo sapiens
101605	Aurora kinase A-interacting protein	SINGLE PROTEIN	Q9NWT8	Homo sapiens	Homo sapiens
101606	Elongation of very long chain fatty acids protein 2	SINGLE PROTEIN	Q9NXB9	Homo sapiens	Homo sapiens
101607	Serine/threonine-protein kinase 32B	SINGLE PROTEIN	Q9NY57	Homo sapiens	Homo sapiens
102709	Leptin receptor	SINGLE PROTEIN	P48357	Homo sapiens	Homo sapiens
102711	Mitogen-activated protein kinase kinase kinase 2	SINGLE PROTEIN	Q9Y2U5	Homo sapiens	Homo sapiens
102714	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	SINGLE PROTEIN	P33908	Homo sapiens	Homo sapiens
102718	Membrane-bound transcription factor site-1 protease	SINGLE PROTEIN	Q14703	Homo sapiens	Homo sapiens
102719	Malate dehydrogenase, mitochondrial	SINGLE PROTEIN	P40926	Homo sapiens	Homo sapiens
102723	Canalicular multispecific organic anion transporter 2	SINGLE PROTEIN	O15438	Homo sapiens	Homo sapiens
102726	Myeloid differentiation primary response protein MyD88	SINGLE PROTEIN	Q99836	Homo sapiens	Homo sapiens
102727	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	SINGLE PROTEIN	Q9UK23	Homo sapiens	Homo sapiens
102728	Bifunctional protein NCOAT	SINGLE PROTEIN	O60502	Homo sapiens	Homo sapiens
103142	Glycine receptor subunit alpha-3	SINGLE PROTEIN	O75311	Homo sapiens	Homo sapiens
101376	Multifunctional protein ADE2	SINGLE PROTEIN	P22234	Homo sapiens	Homo sapiens
101378	Ubiquitin-like modifier-activating enzyme 1	SINGLE PROTEIN	P22314	Homo sapiens	Homo sapiens
101379	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	SINGLE PROTEIN	P22413	Homo sapiens	Homo sapiens
101383	Alanine aminotransferase 1	SINGLE PROTEIN	P24298	Homo sapiens	Homo sapiens
101384	Corticotropin-releasing factor-binding protein	SINGLE PROTEIN	P24387	Homo sapiens	Homo sapiens
101386	LIM domain kinase 2	SINGLE PROTEIN	P53671	Homo sapiens	Homo sapiens
101608	Toll-like receptor 7	SINGLE PROTEIN	Q9NYK1	Homo sapiens	Homo sapiens
101609	Elongation of very long chain fatty acids protein 5	SINGLE PROTEIN	Q9NYP7	Homo sapiens	Homo sapiens
101610	Serine/threonine-protein kinase PLK2	SINGLE PROTEIN	Q9NYY3	Homo sapiens	Homo sapiens
101611	Endoplasmic reticulum aminopeptidase 1	SINGLE PROTEIN	Q9NZ08	Homo sapiens	Homo sapiens
101612	Serine/threonine-protein kinase MARK1	SINGLE PROTEIN	Q9P0L2	Homo sapiens	Homo sapiens
101613	Serine/threonine-protein kinase MST4	SINGLE PROTEIN	Q9P289	Homo sapiens	Homo sapiens
101614	Phosphatidylcholine-sterol acyltransferase	SINGLE PROTEIN	P04180	Homo sapiens	Homo sapiens
102732	Non-specific lipid-transfer protein	SINGLE PROTEIN	P22307	Homo sapiens	Homo sapiens
102733	Neuropeptide FF receptor 1	SINGLE PROTEIN	Q9GZQ6	Homo sapiens	Homo sapiens
102734	Neuropeptide FF receptor 2	SINGLE PROTEIN	Q9Y5X5	Homo sapiens	Homo sapiens
102739	RAS guanyl-releasing protein 1	SINGLE PROTEIN	O95267	Homo sapiens	Homo sapiens
102740	Ornithine aminotransferase, mitochondrial	SINGLE PROTEIN	P04181	Homo sapiens	Homo sapiens
102741	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	SINGLE PROTEIN	O15294	Homo sapiens	Homo sapiens
102621	5'-nucleotidase	SINGLE PROTEIN	P21589	Homo sapiens	Homo sapiens
102622	Alpha-1-acid glycoprotein 2	SINGLE PROTEIN	P19652	Homo sapiens	Homo sapiens
102626	Alpha-1-antichymotrypsin	SINGLE PROTEIN	P01011	Homo sapiens	Homo sapiens
101391	Phospholipid transfer protein	SINGLE PROTEIN	P55058	Homo sapiens	Homo sapiens
101392	Proteinase-activated receptor 2	SINGLE PROTEIN	P55085	Homo sapiens	Homo sapiens
101393	Aquaporin-4	SINGLE PROTEIN	P55087	Homo sapiens	Homo sapiens
101395	IgG receptor FcRn large subunit p51	SINGLE PROTEIN	P55899	Homo sapiens	Homo sapiens
101396	Kinesin-like protein KIF2C	SINGLE PROTEIN	Q99661	Homo sapiens	Homo sapiens
101397	Lysophosphatidic acid receptor 4	SINGLE PROTEIN	Q99677	Homo sapiens	Homo sapiens
101398	Phosphatidylinositol-4-phosphate 5-kinase type-1 alpha	SINGLE PROTEIN	Q99755	Homo sapiens	Homo sapiens
101399	Mitogen-activated protein kinase kinase kinase 3	SINGLE PROTEIN	Q99759	Homo sapiens	Homo sapiens
101400	Smoothened homolog	SINGLE PROTEIN	Q99835	Homo sapiens	Homo sapiens
101403	Dehydrogenase/reductase SDR family member 9	SINGLE PROTEIN	Q9BPW9	Homo sapiens	Homo sapiens
101404	Serine/threonine-protein kinase RIO1	SINGLE PROTEIN	Q9BRS2	Homo sapiens	Homo sapiens
101621	Heat shock protein beta-1	SINGLE PROTEIN	P04792	Homo sapiens	Homo sapiens
101622	Galectin-2	SINGLE PROTEIN	P05162	Homo sapiens	Homo sapiens
101624	Alkaline phosphatase, tissue-nonspecific isozyme	SINGLE PROTEIN	P05186	Homo sapiens	Homo sapiens
11989	ADAM9	SINGLE PROTEIN	Q13443	Homo sapiens	Homo sapiens
102631	Aldo-keto reductase family 1 member B10	SINGLE PROTEIN	O60218	Homo sapiens	Homo sapiens
102632	Apolipoprotein A-I	SINGLE PROTEIN	P02647	Homo sapiens	Homo sapiens
102633	ADP-ribosylation factor 1	SINGLE PROTEIN	P84077	Homo sapiens	Homo sapiens
102634	ADP-ribosylation factor 5	SINGLE PROTEIN	P84085	Homo sapiens	Homo sapiens
102635	ADP-ribosylation factor 6	SINGLE PROTEIN	P62330	Homo sapiens	Homo sapiens
102637	Bcl-2-like protein 10	SINGLE PROTEIN	Q9HD36	Homo sapiens	Homo sapiens
102638	Baculoviral IAP repeat-containing protein 5	SINGLE PROTEIN	O15392	Homo sapiens	Homo sapiens
102639	Breast cancer type 1 susceptibility protein	SINGLE PROTEIN	P38398	Homo sapiens	Homo sapiens
102642	Caspase-14	SINGLE PROTEIN	P31944	Homo sapiens	Homo sapiens
102645	Sterol 26-hydroxylase, mitochondrial	SINGLE PROTEIN	Q02318	Homo sapiens	Homo sapiens
102648	C-X-C chemokine receptor type 6	SINGLE PROTEIN	O00574	Homo sapiens	Homo sapiens
102649	Cytohesin-2	SINGLE PROTEIN	Q99418	Homo sapiens	Homo sapiens
102650	Dihydrodipicolinate synthase-like, mitochondrial	SINGLE PROTEIN	Q86XE5	Homo sapiens	Homo sapiens
102656	Deoxyguanosine kinase, mitochondrial	SINGLE PROTEIN	Q16854	Homo sapiens	Homo sapiens
102657	Estradiol 17-beta-dehydrogenase 12	SINGLE PROTEIN	Q53GQ0	Homo sapiens	Homo sapiens
102658	3-keto-steroid reductase	SINGLE PROTEIN	P56937	Homo sapiens	Homo sapiens
101405	Serine/threonine-protein kinase RIO2	SINGLE PROTEIN	Q9BVS4	Homo sapiens	Homo sapiens
101406	Elongation of very long chain fatty acids protein 1	SINGLE PROTEIN	Q9BW60	Homo sapiens	Homo sapiens
101407	Cell division cycle 2-like protein kinase 6	SINGLE PROTEIN	Q9BWU1	Homo sapiens	Homo sapiens
101408	Testis-specific serine/threonine-protein kinase 1	SINGLE PROTEIN	Q9BXA7	Homo sapiens	Homo sapiens
101409	Queuine tRNA-ribosyltransferase	SINGLE PROTEIN	Q9BXR0	Homo sapiens	Homo sapiens
101410	Serine/threonine-protein kinase 33	SINGLE PROTEIN	Q9BYT3	Homo sapiens	Homo sapiens
101411	Serine/threonine-protein kinase ULK1	SINGLE PROTEIN	O75385	Homo sapiens	Homo sapiens
101412	Transient receptor potential cation channel subfamily A member 1	SINGLE PROTEIN	O75762	Homo sapiens	Homo sapiens
101413	Carbonyl reductase [NADPH] 3	SINGLE PROTEIN	O75828	Homo sapiens	Homo sapiens
101414	Diacylglycerol O-acyltransferase 1	SINGLE PROTEIN	O75907	Homo sapiens	Homo sapiens
101415	Cyclin-dependent kinase 2-associated protein 2	SINGLE PROTEIN	O75956	Homo sapiens	Homo sapiens
102391	Testis-specific serine/threonine-protein kinase 2	SINGLE PROTEIN	Q96PF2	Homo sapiens	Homo sapiens
102394	Bile salt export pump	SINGLE PROTEIN	O95342	Homo sapiens	Homo sapiens
102660	Dickkopf-related protein 1	SINGLE PROTEIN	O94907	Homo sapiens	Homo sapiens
102663	DNA polymerase theta	SINGLE PROTEIN	O75417	Homo sapiens	Homo sapiens
102664	Dual specificity protein phosphatase 1	SINGLE PROTEIN	P28562	Homo sapiens	Homo sapiens
102665	Segment polarity protein dishevelled homolog DVL-1	SINGLE PROTEIN	O14640	Homo sapiens	Homo sapiens
102666	Segment polarity protein dishevelled homolog DVL-3	SINGLE PROTEIN	Q92997	Homo sapiens	Homo sapiens
102667	Eukaryotic translation initiation factor 2-alpha kinase 1	SINGLE PROTEIN	Q9BQI3	Homo sapiens	Homo sapiens
102669	Eukaryotic translation initiation factor 2-alpha kinase 3	SINGLE PROTEIN	Q9NZJ5	Homo sapiens	Homo sapiens
102671	Histone-lysine N-methyltransferase, H3 lysine-9 specific 5	SINGLE PROTEIN	Q9H9B1	Homo sapiens	Homo sapiens
102672	Histone-lysine N-methyltransferase, H3 lysine-9 specific 3	SINGLE PROTEIN	Q96KQ7	Homo sapiens	Homo sapiens
102673	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6	SINGLE PROTEIN	Q6UWR7	Homo sapiens	Homo sapiens
101427	Hepatocyte growth factor-like protein	SINGLE PROTEIN	P26927	Homo sapiens	Homo sapiens
102423	Bcl-2-related protein A1	SINGLE PROTEIN	Q16548	Homo sapiens	Homo sapiens
102388	Cytochrome P450, family 4, subfamily X, polypeptide 1, isoform CRA_c	SINGLE PROTEIN	Q8N118	Homo sapiens	Homo sapiens
102390	Creatine kinase B-type	SINGLE PROTEIN	P12277	Homo sapiens	Homo sapiens
102393	Transforming protein RhoA	SINGLE PROTEIN	P61586	Homo sapiens	Homo sapiens
102399	PAS domain-containing serine/threonine-protein kinase	SINGLE PROTEIN	Q96RG2	Homo sapiens	Homo sapiens
102400	Serine/threonine-protein kinase WNK3	SINGLE PROTEIN	Q9BYP7	Homo sapiens	Homo sapiens
102674	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	SINGLE PROTEIN	Q6UWV6	Homo sapiens	Homo sapiens
101430	Proto-oncogene protein Wnt-3	SINGLE PROTEIN	P56703	Homo sapiens	Homo sapiens
101433	Serine/threonine-protein kinase SIK1	SINGLE PROTEIN	P57059	Homo sapiens	Homo sapiens
101434	Receptor-interacting serine/threonine-protein kinase 4	SINGLE PROTEIN	P57078	Homo sapiens	Homo sapiens
101438	Ras-related C3 botulinum toxin substrate 3	SINGLE PROTEIN	P60763	Homo sapiens	Homo sapiens
101439	Cell division control protein 42 homolog	SINGLE PROTEIN	P60953	Homo sapiens	Homo sapiens
101440	Ubiquitin-conjugating enzyme E2 N	SINGLE PROTEIN	P61088	Homo sapiens	Homo sapiens
101441	Actin-related protein 2	SINGLE PROTEIN	P61160	Homo sapiens	Homo sapiens
101444	Calmodulin	SINGLE PROTEIN	P0DP23	Homo sapiens	Homo sapiens
