tid	pref_name	target_type	accession	accession_organism	target_organism
11307	Histone deacetylase 6	SINGLE PROTEIN	Q9UBN7	Homo sapiens	Homo sapiens
12930	Voltage-gated potassium channel subunit Kv7.1	SINGLE PROTEIN	P51787	Homo sapiens	Homo sapiens
52	Alpha-2a adrenergic receptor	SINGLE PROTEIN	P08913	Homo sapiens	Homo sapiens
10979	Vascular endothelial growth factor receptor 1	SINGLE PROTEIN	P17948	Homo sapiens	Homo sapiens
272	Ornithine decarboxylase	SINGLE PROTEIN	P11926	Homo sapiens	Homo sapiens
277	Retinoid X receptor beta	SINGLE PROTEIN	P28702	Homo sapiens	Homo sapiens
278	Adenosine A2b receptor	SINGLE PROTEIN	P29275	Homo sapiens	Homo sapiens
50	Beta-1 adrenergic receptor	SINGLE PROTEIN	P08588	Homo sapiens	Homo sapiens
11272	Sigma opioid receptor	SINGLE PROTEIN	Q99720	Homo sapiens	Homo sapiens
56	Androgen Receptor	SINGLE PROTEIN	P10275	Homo sapiens	Homo sapiens
11399	Tissue-type plasminogen activator	SINGLE PROTEIN	P00750	Homo sapiens	Homo sapiens
167	Sodium-(potassium)-chloride cotransporter 2	SINGLE PROTEIN	Q13621	Homo sapiens	Homo sapiens
168	Serotonin 4 (5-HT4) receptor	SINGLE PROTEIN	Q13639	Homo sapiens	Homo sapiens
151	Thiazide-sensitive sodium-chloride cotransporter	SINGLE PROTEIN	P55017	Homo sapiens	Homo sapiens
282	Calcium sensing receptor	SINGLE PROTEIN	P41180	Homo sapiens	Homo sapiens
142	Prostanoid EP2 receptor	SINGLE PROTEIN	P43116	Homo sapiens	Homo sapiens
285	Potassium channel, inwardly rectifying, subfamily J, member 11	SINGLE PROTEIN	Q14654	Homo sapiens	Homo sapiens
200	Interferon-alpha/beta receptor alpha chain	SINGLE PROTEIN	P17181	Homo sapiens	Homo sapiens
134	Vasopressin V1a receptor	SINGLE PROTEIN	P37288	Homo sapiens	Homo sapiens
184	Glutamate carboxypeptidase II	SINGLE PROTEIN	Q04609	Homo sapiens	Homo sapiens
162	Synaptic vesicular amine transporter	SINGLE PROTEIN	Q05940	Homo sapiens	Homo sapiens
106	Serotonin 1b (5-HT1b) receptor	SINGLE PROTEIN	P28222	Homo sapiens	Homo sapiens
43	Beta-2 adrenergic receptor	SINGLE PROTEIN	P07550	Homo sapiens	Homo sapiens
144	Serotonin 3a (5-HT3a) receptor	SINGLE PROTEIN	P46098	Homo sapiens	Homo sapiens
242	Aldose reductase	SINGLE PROTEIN	P15121	Homo sapiens	Homo sapiens
10472	Cholecystokinin A receptor	SINGLE PROTEIN	P32238	Homo sapiens	Homo sapiens
80	FK506-binding protein 1A	SINGLE PROTEIN	P62942	Homo sapiens	Homo sapiens
113	GABA transporter 1	SINGLE PROTEIN	P30531	Homo sapiens	Homo sapiens
10904	Serine/threonine-protein kinase RAF	SINGLE PROTEIN	P04049	Homo sapiens	Homo sapiens
243	Aminopeptidase N	SINGLE PROTEIN	P15144	Homo sapiens	Homo sapiens
