parent_molregno	accession	parent_chembl_id	target_organism	summary
1124	O43570	CHEMBL19	Homo sapiens	8.47
1124	P00915	CHEMBL19	Homo sapiens	7.17
1124	P00918	CHEMBL19	Homo sapiens	7.83
1124	P07451	CHEMBL19	Homo sapiens	8.96
1124	P10636	CHEMBL19	Homo sapiens	5.4
1124	P15428	CHEMBL19	Homo sapiens	4.45
1124	P22748	CHEMBL19	Homo sapiens	5.915
1124	P23280	CHEMBL19	Homo sapiens	8.0
1124	P35218	CHEMBL19	Homo sapiens	7.19
1124	P42858	CHEMBL19	Homo sapiens	4.9
1124	P43166	CHEMBL19	Homo sapiens	8.68
1124	Q16790	CHEMBL19	Homo sapiens	7.57
1124	Q8N1Q1	CHEMBL19	Homo sapiens	7.72
1124	Q99714	CHEMBL19	Homo sapiens	4.8
1124	Q9ULX7	CHEMBL19	Homo sapiens	7.37
1124	Q9Y2D0	CHEMBL19	Homo sapiens	7.21
1125	O43570	CHEMBL20	Homo sapiens	7.215
1125	O75493	CHEMBL20	Homo sapiens	8.24
1125	P00915	CHEMBL20	Homo sapiens	6.43
1125	P00918	CHEMBL20	Homo sapiens	7.25
1125	P07451	CHEMBL20	Homo sapiens	5.19
1125	P10828	CHEMBL20	Homo sapiens	5.75
1125	P22748	CHEMBL20	Homo sapiens	7.13
1125	P23280	CHEMBL20	Homo sapiens	6.63
1125	P35218	CHEMBL20	Homo sapiens	6.6
1125	P43166	CHEMBL20	Homo sapiens	7.77
1125	P54132	CHEMBL20	Homo sapiens	4.95
1125	Q16637	CHEMBL20	Homo sapiens	6.25
1125	Q16790	CHEMBL20	Homo sapiens	6.75
1125	Q8N1Q1	CHEMBL20	Homo sapiens	7.75
1125	Q9NUW8	CHEMBL20	Homo sapiens	4.1
1125	Q9ULX7	CHEMBL20	Homo sapiens	7.385
1125	Q9Y2D0	CHEMBL20	Homo sapiens	6.51
1148	B2RXH2	CHEMBL419	Homo sapiens	5.3
1148	O43570	CHEMBL419	Homo sapiens	9.52
1148	P00915	CHEMBL419	Homo sapiens	4.6
1148	P00918	CHEMBL419	Homo sapiens	5.4
1148	P10636	CHEMBL419	Homo sapiens	4.4
