Drug name	chembl_id	molregno	Original synonyms	value	upper_value	reference	type	assay_id
NABUMETONE	CHEMBL1070	139210		99.0		PMID22210121	PPB	
NADOLOL	CHEMBL649	27570		20.0		PMID22210121	PPB	
NAFCILLIN	CHEMBL1443	374064		89.4		PMID22210121	PPB	
NALIDIXIC ACID	CHEMBL5	147		90.0	94.0	PMID22210121	PPB	
NAPROXEN	CHEMBL154	51056		99.4		PMID22210121	PPB	
NICARDIPINE	CHEMBL1484	407549		98.0	99.0	PMID22210121	PPB	
NICERGOLINE	CHEMBL1372950	796834		95.0		PMID22210121	PPB	
NIMESULIDE	CHEMBL56367	85553		99.0		PMID22210121	PPB	
NOREPINEPHRINE	CHEMBL1437	372912		50.0		PMID22210121	PPB	
NORTRIPTYLINE	CHEMBL445	2262		93.5		PMID22210121	PPB	
NOVOBIOCIN	CHEMBL36506	48697		90.0		PMID22210121	PPB	
OCTREOTIDE	CHEMBL1680	511465		65.0		PMID22210121	PPB	
OMEPRAZOLE	CHEMBL1503	419601		95.0		PMID22210121	PPB	
OXAZEPAM	CHEMBL568	16506		98.4		PMID22210121	PPB	
OXYPHENBUTAZONE	CHEMBL1228	227917		99.0		PMID22210121	PPB	
PACLITAXEL	CHEMBL428647	8062	Taxol	95.0	98.0	PMID22210121	PPB	
PHENOBARBITAL	CHEMBL40	2217		51.0		PMID22210121	PPB	
PHENYLBUTAZONE	CHEMBL101	12417		97.8		PMID22210121	PPB	
PHENYTOIN	CHEMBL16	921		91.0		PMID22210121	PPB	
PINDOLOL	CHEMBL500	8543		51.0		PMID22210121	PPB	
PIPERACILLIN	CHEMBL702	33055		30.0		PMID22210121	PPB	
PIRETANIDE	CHEMBL349803	258666		94.0		PMID22210121	PPB	
PIRPROFEN	CHEMBL188952	314827		99.8		PMID22210121	PPB	
PRACTOLOL	CHEMBL6995	1380		30.0		PMID22210121	PPB	
PRAVASTATIN	CHEMBL1144	178796		43.0	48.0	PMID22210121	PPB	
PRAZOSIN	CHEMBL2	97		95.0		PMID22210121	PPB	
PREDNISOLONE	CHEMBL131	27370		90.0	95.0	PMID22210121	PPB	
PROCAINE	CHEMBL569	16581		6.0		PMID22210121	PPB	
PROPOFOL	CHEMBL526	11819		95.0	99.0	PMID22210121	PPB	
PROPRANOLOL	CHEMBL27	1370		87.0		PMID22210121	PPB	
QUINAPRIL	CHEMBL1592	454141		97.0		PMID22210121	PPB	
QUINIDINE	CHEMBL1294	255477		87.0		PMID22210121	PPB	
QUININE	CHEMBL170	255947		93.0		PMID22210121	PPB	
RAMIPRIL	CHEMBL1168	189203		56.0		PMID22210121	PPB	
