chembl_id	molregno	parent_molregno	parent_chembl_id
CHEMBL1201097	675048	378207	CHEMBL1447
CHEMBL1201104	675055	675221	CHEMBL1201270
CHEMBL1201109	675060	675060	CHEMBL1201109
CHEMBL1201112	675063	675063	CHEMBL1201112
CHEMBL1201117	675068	675068	CHEMBL1201117
CHEMBL1201120	675071	111871	CHEMBL1005
CHEMBL1201124	675075	5080	CHEMBL469
CHEMBL1201129	675080	675080	CHEMBL1201129
CHEMBL1201134	675085	675085	CHEMBL1201134
CHEMBL1201139	675090	675090	CHEMBL1201139
CHEMBL1201142	675093	75752	CHEMBL887
CHEMBL1201168	675119	675119	CHEMBL1201168
CHEMBL1201173	675124	675124	CHEMBL1201173
CHEMBL1201175	675126	675217	CHEMBL1201266
CHEMBL1201178	675129	675173	CHEMBL1201222
CHEMBL1201182	675133	675133	CHEMBL1201182
CHEMBL1201184	675135	675136	CHEMBL1201185
CHEMBL1201192	675143	675143	CHEMBL1201192
CHEMBL1201193	675144	675144	CHEMBL1201193
CHEMBL1201196	675147	675147	CHEMBL1201196
CHEMBL1201198	675149	675149	CHEMBL1201198
CHEMBL1201201	675152	675152	CHEMBL1201201
CHEMBL1201212	675163	675163	CHEMBL1201212
CHEMBL1201220	675171	675171	CHEMBL1201220
CHEMBL1201236	675187	675187	CHEMBL1201236
CHEMBL1201237	675188	675188	CHEMBL1201237
CHEMBL1201244	675195	675195	CHEMBL1201244
CHEMBL1201255	675206	675206	CHEMBL1201255
CHEMBL1201256	675207	675207	CHEMBL1201256
CHEMBL1201262	675213	675213	CHEMBL1201262
CHEMBL1201265	675216	675216	CHEMBL1201265
CHEMBL1201266	675217	675217	CHEMBL1201266
CHEMBL1201267	675218	675218	CHEMBL1201267
CHEMBL1201270	675221	675221	CHEMBL1201270
CHEMBL1201279	675230	675230	CHEMBL1201279
CHEMBL1201291	675242	675242	CHEMBL1201291
CHEMBL1201293	675244	675244	CHEMBL1201293
CHEMBL1201300	675251	675251	CHEMBL1201300
CHEMBL1201302	675253	675253	CHEMBL1201302
CHEMBL1201334	675285	675285	CHEMBL1201334
CHEMBL1201335	675286	675286	CHEMBL1201335
CHEMBL1201338	675289	675289	CHEMBL1201338
CHEMBL1201344	675295	675295	CHEMBL1201344
CHEMBL1201353	675304	675304	CHEMBL1201353
CHEMBL1201356	675307	675307	CHEMBL1201356
CHEMBL1201358	675309	675309	CHEMBL1201358
CHEMBL1201360	675311	675311	CHEMBL1201360
CHEMBL1201361	675312	675312	CHEMBL1201361
CHEMBL1201362	675313	675313	CHEMBL1201362
CHEMBL1201365	675316	675316	CHEMBL1201365
CHEMBL1201368	675319	675319	CHEMBL1201368
CHEMBL1201380	675331	675331	CHEMBL1201380
CHEMBL1201387	675338	675338	CHEMBL1201387
CHEMBL1201388	675339	675339	CHEMBL1201388
CHEMBL1201390	675341	675341	CHEMBL1201390
CHEMBL1201396	675347	675347	CHEMBL1201396
CHEMBL1201404	675355	675355	CHEMBL1201404
CHEMBL1201405	675356	675356	CHEMBL1201405
CHEMBL1201407	675358	675358	CHEMBL1201407
CHEMBL1201746	675697	675697	CHEMBL1201746
CHEMBL1201747	675698	675698	CHEMBL1201747
CHEMBL1201748	675699	675699	CHEMBL1201748
