chembl_id	molregno	parent_molregno	parent_chembl_id	stitch_stereo
CHEMBL1200660	674611	674611	CHEMBL1200660	CID000012597
CHEMBL1200661	674612	674612	CHEMBL1200661	CID005282175
CHEMBL1200666	674617	674617	CHEMBL1200666	CID005288783
CHEMBL1200675	674626	495109	CHEMBL1655	CID003005572
CHEMBL1200679	674630	674630	CHEMBL1200679	CID003007855
CHEMBL1200680	674631	674631	CHEMBL1200680	CID000024087
CHEMBL1200686	674637	674637	CHEMBL1200686	CID006509979
CHEMBL1200688	674639	674639	CHEMBL1200688	CID000443953
CHEMBL1200689	674640	674640	CHEMBL1200689	CID000145068
CHEMBL1200692	674643	674643	CHEMBL1200692	CID000130881
CHEMBL1200694	674645	674645	CHEMBL1200694	CID000005206
CHEMBL1200709	674660	674660	CHEMBL1200709	CID000688020
CHEMBL1200711	674662	674662	CHEMBL1200711	CID009831414
CHEMBL1200732	674683	674683	CHEMBL1200732	CID000443958
CHEMBL1200733	674684	674684	CHEMBL1200733	CID000042113
CHEMBL1200734	674685	499624	CHEMBL1664	CID000131535
CHEMBL1200735	674686	1788	CHEMBL32	CID000101526
CHEMBL1200747	674698	674698	CHEMBL1200747	CID000062358
CHEMBL1200757	674708	306486	CHEMBL185073	CID000027350
CHEMBL1200775	674726	675150	CHEMBL1201199	CID000657180
CHEMBL1200776	674727	675235	CHEMBL1201284	CID000156418
CHEMBL1200799	674750	674750	CHEMBL1200799	CID005282226
CHEMBL1200800	674751	674751	CHEMBL1200800	CID000006116
CHEMBL1200810	674761	674761	CHEMBL1200810	CID005281107
CHEMBL1200818	674769	28976	CHEMBL679	CID000005815
CHEMBL1200819	674770	150423	CHEMBL1093	CID000032169
CHEMBL1200826	674777	674777	CHEMBL1200826	CID000011125
CHEMBL1200837	674788	675225	CHEMBL1201274	CID000060656
CHEMBL1200845	674796	674796	CHEMBL1200845	CID000443943
CHEMBL1200854	674805	674805	CHEMBL1200854	CID000003388
CHEMBL1200862	674813	674813	CHEMBL1200862	CID000441350
CHEMBL1200865	674816	674816	CHEMBL1200865	CID000444025
CHEMBL1200896	674847	55033	CHEMBL815	CID005282415
CHEMBL1200901	674852	152728	CHEMBL1107	CID000037392
CHEMBL1200921	674872	674872	CHEMBL1200921	CID000000727
CHEMBL1200929	674880	674880	CHEMBL1200929	CID000024424
CHEMBL1200932	674883	674883	CHEMBL1200932	CID000065492
CHEMBL1200935	674886	291960	CHEMBL1346	CID000444030
CHEMBL1200936	674887	1051276	CHEMBL1628385	CID000022502
CHEMBL1200946	674897	674897	CHEMBL1200946	CID000009677
CHEMBL1200963	674914	674914	CHEMBL1200963	CID005311027
CHEMBL1200969	674920	674920	CHEMBL1200969	CID006918296
CHEMBL1200973	674924	674924	CHEMBL1200973	CID000009403
CHEMBL1200979	674930	674930	CHEMBL1200979	CID000131204
CHEMBL1200980	674931	485955	CHEMBL494753	CID005284555
CHEMBL1200989	674940	674940	CHEMBL1200989	CID000636374
CHEMBL1201	209829	209829	CHEMBL1201	CID000941651
CHEMBL1201010	674961	674961	CHEMBL1201010	CID000225609
CHEMBL1201011	674962	454141	CHEMBL1592	CID000054891
CHEMBL1201012	674963	674963	CHEMBL1201012	CID000015209
CHEMBL1201018	674969	29005	CHEMBL680	CID000051038
CHEMBL1201032	674983	79047	CHEMBL905	CID000077997
CHEMBL1201073	675024	675024	CHEMBL1201073	CID002724354
CHEMBL1201075	675026	675026	CHEMBL1201075	CID000003743
CHEMBL1201087	675038	675038	CHEMBL1201087	CID000054746
CHEMBL1201093	675044	624125	CHEMBL1096562	CID000157921
CHEMBL1201097	675048	378207	CHEMBL1447	CID000064710
CHEMBL1201104	675055	675221	CHEMBL1201270	CID000021945
CHEMBL1201109	675060	675060	CHEMBL1201109	CID005311066
CHEMBL1201112	675063	675063	CHEMBL1201112	CID003011155
CHEMBL1201117	675068	675068	CHEMBL1201117	CID000004107
CHEMBL1201120	675071	111871	CHEMBL1005	CID000060814
CHEMBL1201124	675075	5080	CHEMBL469	CID000084003
CHEMBL1201129	675080	675080	CHEMBL1201129	CID000451668
CHEMBL1201134	675085	675085	CHEMBL1201134	CID000157920
CHEMBL1201139	675090	675090	CHEMBL1201139	CID000011683
CHEMBL1201142	675093	75752	CHEMBL887	CID003052775
CHEMBL1201168	675119	675119	CHEMBL1201168	CID000003759
CHEMBL1201173	675124	675124	CHEMBL1201173	CID000247839
CHEMBL1201175	675126	675217	CHEMBL1201266	CID000044563
CHEMBL1201178	675129	675173	CHEMBL1201222	CID011597697
CHEMBL1201182	675133	675133	CHEMBL1201182	CID006918289
CHEMBL1201184	675135	675136	CHEMBL1201185	CID006918010
CHEMBL1201192	675143	675143	CHEMBL1201192	CID009690109
CHEMBL1201193	675144	675144	CHEMBL1201193	CID000092253
CHEMBL1201196	675147	675147	CHEMBL1201196	CID000065863
CHEMBL1201198	675149	675149	CHEMBL1201198	CID000057697
CHEMBL1201201	675152	675152	CHEMBL1201201	CID000010836
CHEMBL1201212	675163	675163	CHEMBL1201212	CID000004195
CHEMBL1201220	675171	675171	CHEMBL1201220	CID000002140
CHEMBL1201236	675187	675187	CHEMBL1201236	CID000034359
CHEMBL1201237	675188	675188	CHEMBL1201237	CID000039468
CHEMBL1201244	675195	675195	CHEMBL1201244	CID000441290
CHEMBL1201255	675206	675206	CHEMBL1201255	CID025077993
CHEMBL1201256	675207	675207	CHEMBL1201256	CID000005577
CHEMBL1201262	675213	675213	CHEMBL1201262	CID000003105
CHEMBL1201265	675216	675216	CHEMBL1201265	CID000016923
CHEMBL1201266	675217	675217	CHEMBL1201266	CID000044564
CHEMBL1201267	675218	675218	CHEMBL1201267	CID000083898
CHEMBL1201270	675221	675221	CHEMBL1201270	CID000004101
CHEMBL1201279	675230	675230	CHEMBL1201279	CID000023994
CHEMBL1201291	675242	675242	CHEMBL1201291	CID000003742
CHEMBL1201293	675244	675244	CHEMBL1201293	CID000071158
CHEMBL1201300	675251	675251	CHEMBL1201300	CID000003737
CHEMBL1201302	675253	675253	CHEMBL1201302	CID000009400
CHEMBL1201334	675285	675285	CHEMBL1201334	CID025074470
CHEMBL1201335	675286	675286	CHEMBL1201335	CID000003494
CHEMBL1201338	675289	675289	CHEMBL1201338	CID000002905
CHEMBL1201344	675295	675295	CHEMBL1201344	CID000005596
CHEMBL1201353	675304	675304	CHEMBL1201353	CID000033036
CHEMBL1201356	675307	675307	CHEMBL1201356	CID000008226
CHEMBL1201358	675309	675309	CHEMBL1201358	CID000002341
CHEMBL1201360	675311	675311	CHEMBL1201360	CID005311167
CHEMBL1201361	675312	675312	CHEMBL1201361	CID005311000
CHEMBL1201362	675313	675313	CHEMBL1201362	CID005311051
CHEMBL1201365	675316	675316	CHEMBL1201365	CID005464096
CHEMBL1201368	675319	675319	CHEMBL1201368	CID000072022
CHEMBL1201380	675331	675331	CHEMBL1201380	CID000071415
CHEMBL1201387	675338	675338	CHEMBL1201387	CID005464097
CHEMBL1201388	675339	675339	CHEMBL1201388	CID000031378
CHEMBL1201390	675341	675341	CHEMBL1201390	CID000091488
CHEMBL1201396	675347	675347	CHEMBL1201396	CID005311101
CHEMBL1201404	675355	675355	CHEMBL1201404	CID000441335
CHEMBL1201405	675356	675356	CHEMBL1201405	CID000055331
CHEMBL1201407	675358	675358	CHEMBL1201407	CID005311236
CHEMBL1201746	675697	675697	CHEMBL1201746	CID000148121
CHEMBL1201747	675698	675698	CHEMBL1201747	CID019371515
CHEMBL1201748	675699	675699	CHEMBL1201748	CID009854073
CHEMBL1201749	675700	675700	CHEMBL1201749	CID000443936
CHEMBL1201752	675703	675703	CHEMBL1201752	CID006445540
CHEMBL1201754	675705	675705	CHEMBL1201754	CID000129228
CHEMBL1201756	675707	675707	CHEMBL1201756	CID003036780
CHEMBL1201758	675709	675709	CHEMBL1201758	CID000164522
CHEMBL1201760	675711	675711	CHEMBL1201760	CID010178705
CHEMBL1201764	675715	675715	CHEMBL1201764	CID006918558
CHEMBL1201770	675721	660529	CHEMBL1186579	CID005361917
CHEMBL1201772	675723	675723	CHEMBL1201772	CID006918456
CHEMBL1201777	675728	675727	CHEMBL1201776	CID009838021
CHEMBL1201780	675731	675731	CHEMBL1201780	CID000121396
CHEMBL1201785	675736	675735	CHEMBL1201784	CID006433082
CHEMBL1201798	675749	675749	CHEMBL1201798	CID003085017
CHEMBL1201799	675750	675749	CHEMBL1201798	CID011593706
CHEMBL1201863	675812	675812	CHEMBL1201863	CID009578005
CHEMBL1205	213505	17224	CHEMBL584	CID000064142
CHEMBL1206690	680641	680641	CHEMBL1206690	CID000119828
CHEMBL1208	214701	214701	CHEMBL1208	CID000002762
CHEMBL1208306	682257	682257	CHEMBL1208306	CID000005248
CHEMBL1213165	685006	691562	CHEMBL1229211	CID046216142
CHEMBL1213252	685093	685093	CHEMBL1213252	CID000002809
CHEMBL1213351	685193	685193	CHEMBL1213351	CID000010100
CHEMBL1214	218758	218758	CHEMBL1214	CID000020824
CHEMBL1214124	685974	685974	CHEMBL1214124	CID009924495
CHEMBL1215	219334	219334	CHEMBL1215	CID000006041
CHEMBL1218	221962	221962	CHEMBL1218	CID000208902
CHEMBL1219	222203	222203	CHEMBL1219	CID000005029
CHEMBL122	21697	21697	CHEMBL122	CID000005090
CHEMBL1220	222633	222633	CHEMBL1220	CID000005479
CHEMBL1221	223819	223819	CHEMBL1221	CID000005318
CHEMBL1229	228121	228121	CHEMBL1229	CID000065028
CHEMBL1229517	691867	691867	CHEMBL1229517	CID042611257
CHEMBL1231	229058	229058	CHEMBL1231	CID000004634
CHEMBL12318	10423	10423	CHEMBL12318	CID000025419
CHEMBL1232767	695117	695117	CHEMBL1232767	CID000014917
CHEMBL1233	230249	230249	CHEMBL1233	CID000002576
CHEMBL1233550	695900	695900	CHEMBL1233550	CID000024841
CHEMBL1234004	696354	696354	CHEMBL1234004	CID000028486
CHEMBL1234579	696929	696929	CHEMBL1234579	CID000000948
CHEMBL1237021	699372	699372	CHEMBL1237021	CID000213046
CHEMBL1237061	699412	675704	CHEMBL1201753	CID005282451
CHEMBL1237117	699468	699468	CHEMBL1237117	CID000003623
CHEMBL1237119	699470	699470	CHEMBL1237119	CID006918140
CHEMBL1237122	699473	699473	CHEMBL1237122	CID005281075
CHEMBL1237129	699480	421102	CHEMBL252923	CID000055480
CHEMBL1237132	699483	699483	CHEMBL1237132	CID000153994
CHEMBL1238	230691	230691	CHEMBL1238	CID000002266
CHEMBL1239	230966	230966	CHEMBL1239	CID000002345
CHEMBL1252	237298	237298	CHEMBL1252	CID016131215
CHEMBL1255800	704780	704780	CHEMBL1255800	CID010034073
CHEMBL1256	238127	238127	CHEMBL1256	CID000003763
CHEMBL1256140	705124	581859	CHEMBL1757	CID000073491
CHEMBL1256391	705377	705377	CHEMBL1256391	CID000040632
CHEMBL1256472	705459	51182	CHEMBL803	CID000006252
CHEMBL1256786	705778	705778	CHEMBL1256786	CID000003410
CHEMBL1256873	705866	20496	CHEMBL599	CID000004051
CHEMBL1257	238429	238429	CHEMBL1257	CID000003226
CHEMBL1257051	706046	706046	CHEMBL1257051	CID011234049
CHEMBL1259059	708075	708075	CHEMBL1259059	CID045375808
CHEMBL126	26280	26280	CHEMBL126	CID000441401
CHEMBL1261	240769	240769	CHEMBL1261	CID000000311
CHEMBL12610	9913	9913	CHEMBL12610	CID000012555
CHEMBL1262	242303	242303	CHEMBL1262	CID005353853
CHEMBL1263	242716	242716	CHEMBL1263	CID000005152
CHEMBL1265	244450	244450	CHEMBL1265	CID000060164
CHEMBL1266	245084	245084	CHEMBL1266	CID000005419
CHEMBL1272	248669	248669	CHEMBL1272	CID000065981
CHEMBL1274	249414	249414	CHEMBL1274	CID000004493
CHEMBL1276308	712273	712273	CHEMBL1276308	CID000055245
CHEMBL1276421	712387	712387	CHEMBL1276421	CID000148211
CHEMBL1278	250297	250297	CHEMBL1278	CID000004440
CHEMBL1279	250328	250328	CHEMBL1279	CID000077992
CHEMBL128	27111	27111	CHEMBL128	CID000005358
CHEMBL1282	250908	250908	CHEMBL1282	CID000057469
CHEMBL1286	252155	252155	CHEMBL1286	CID005284583
CHEMBL1289926	716337	716337	CHEMBL1289926	CID006450551
CHEMBL129	27307	27307	CHEMBL129	CID000035370
CHEMBL1290	254975	254975	CHEMBL1290	CID000037464
CHEMBL1291	255221	255221	CHEMBL1291	CID000031477
CHEMBL1297	255534	255534	CHEMBL1297	CID000003342
CHEMBL13	789	789	CHEMBL13	CID000004171
CHEMBL130	27340	27340	CHEMBL130	CID000005959
CHEMBL13030	11434	11434	CHEMBL13030	CID000005184
CHEMBL1306	259959	259959	CHEMBL1306	CID000441383
CHEMBL1308	261343	261343	CHEMBL1308	CID000003406
CHEMBL131	27370	27370	CHEMBL131	CID000005755
CHEMBL1311	263453	263453	CHEMBL1311	CID000027661
CHEMBL1313657	737541	737541	CHEMBL1313657	CID000003517
CHEMBL1314	264400	264400	CHEMBL1314	CID000005483
CHEMBL13209	11745	11745	CHEMBL13209	CID000004506
CHEMBL1321	266225	266225	CHEMBL1321	CID000004915
CHEMBL1323	267163	267163	CHEMBL1323	CID000213039
CHEMBL1324	267825	267825	CHEMBL1324	CID004659569
CHEMBL13280	11715	11715	CHEMBL13280	CID000003380
CHEMBL1335656	759540	759540	CHEMBL1335656	CID000004100
CHEMBL1336	276734	276734	CHEMBL1336	CID000216239
CHEMBL1336727	760611	760611	CHEMBL1336727	CID000941650
CHEMBL1337	281549	281549	CHEMBL1337	CID000115355
CHEMBL134	27609	27609	CHEMBL134	CID000002803
CHEMBL1342	286065	286065	CHEMBL1342	CID000010413
CHEMBL135	27626	27626	CHEMBL135	CID000005757
CHEMBL1354	304383	304383	CHEMBL1354	CID000517045
CHEMBL135400	224263	224263	CHEMBL135400	CID000005735
CHEMBL1358	304798	304798	CHEMBL1358	CID000104741
CHEMBL1359	304903	304903	CHEMBL1359	CID000150610
CHEMBL1360	306485	306485	CHEMBL1360	CID000047319
CHEMBL1363	308174	308174	CHEMBL1363	CID003083544
CHEMBL1364	308201	308201	CHEMBL1364	CID000001054
CHEMBL1364144	788028	788028	CHEMBL1364144	CID000005877
CHEMBL1369407	793291	793291	CHEMBL1369407	CID000002794
CHEMBL137	27912	27912	CHEMBL137	CID000004173
CHEMBL1370	313314	313314	CHEMBL1370	CID005281004
CHEMBL1370561	794445	381693	CHEMBL190	CID000009433
CHEMBL1371	315123	315123	CHEMBL1371	CID000002733
CHEMBL1373	317124	317124	CHEMBL1373	CID000004236
CHEMBL1374379	798263	798263	CHEMBL1374379	CID000007699
CHEMBL1375743	799627	33664	CHEMBL708	CID000060853
CHEMBL1377	320522	320522	CHEMBL1377	CID006178111
CHEMBL1380	321707	321707	CHEMBL1380	CID000441300
CHEMBL138297	231313	231313	CHEMBL138297	CID000008197
CHEMBL1384	325239	325239	CHEMBL1384	CID000006032
CHEMBL1388	328158	328158	CHEMBL1388	CID000007638
CHEMBL1389	328164	328164	CHEMBL1389	CID000013109
CHEMBL1390	328173	328173	CHEMBL1390	CID000010631
CHEMBL1393	328201	328201	CHEMBL1393	CID000005833
CHEMBL1395	328400	328400	CHEMBL1395	CID000006010
CHEMBL1396	330452	330452	CHEMBL1396	CID000170361
CHEMBL1397	334337	334337	CHEMBL1397	CID000468595
CHEMBL139835	236019	236019	CHEMBL139835	CID000009880
CHEMBL1399	337366	337366	CHEMBL1399	CID000002187
CHEMBL1401	338934	338934	CHEMBL1401	CID000041684
CHEMBL1404	341382	341382	CHEMBL1404	CID000056959
CHEMBL1405	342897	342897	CHEMBL1405	CID000005870
CHEMBL141	33986	33986	CHEMBL141	CID000060825
CHEMBL1410743	834627	834627	CHEMBL1410743	CID000031264
CHEMBL1413	353011	353011	CHEMBL1413	CID000002749
CHEMBL1419	358192	358192	CHEMBL1419	CID000005210
CHEMBL1421	361469	361469	CHEMBL1421	CID003062316
CHEMBL142130	234075	234075	CHEMBL142130	CID005284537
CHEMBL1422	363589	363589	CHEMBL1422	CID004369359
CHEMBL1423	364141	364141	CHEMBL1423	CID000016362
CHEMBL1425	364693	364693	CHEMBL1425	CID000667490
CHEMBL142703	234541	234541	CHEMBL142703	CID006918537
CHEMBL1428	365248	365248	CHEMBL1428	CID000004497
CHEMBL1429	366868	366868	CHEMBL1429	CID005311065
CHEMBL1430	369179	369179	CHEMBL1430	CID000005852
CHEMBL1431	369464	369464	CHEMBL1431	CID000004091
CHEMBL1433762	857646	857646	CHEMBL1433762	CID003034756
CHEMBL1435	371631	371631	CHEMBL1435	CID000033255
CHEMBL1436	371655	371655	CHEMBL1436	CID005479529
CHEMBL1437	372912	372912	CHEMBL1437	CID000439260
CHEMBL14376	13949	13949	CHEMBL14376	CID000071360
CHEMBL1441	374005	374005	CHEMBL1441	CID002761171
CHEMBL1443	374064	374064	CHEMBL1443	CID000008982
CHEMBL1444	374548	374548	CHEMBL1444	CID000003902
CHEMBL1445	377718	377718	CHEMBL1445	CID000006446
CHEMBL1451	381691	381691	CHEMBL1451	CID000031307
CHEMBL1455	386327	386327	CHEMBL1455	CID000002123
CHEMBL1456	386457	386457	CHEMBL1456	CID005281078
CHEMBL1457	388373	388373	CHEMBL1457	CID005284569
CHEMBL145704	240319	240319	CHEMBL145704	CID000006451
CHEMBL1463	393942	393942	CHEMBL1463	CID000003366
CHEMBL1469	397873	397873	CHEMBL1469	CID000004775
